site           roi      hw_raw     hw_norm   orth_norm
6.0            9.0        null        null        null
6.0           10.0       61.82       45.76     0.36613
6.0           11.0       52.99        37.7     0.37595
6.0           12.0       72.32       57.87     0.21264
6.0           13.0      105.81       95.55     0.10206
6.0           14.0      105.21        63.5     0.34936
6.0           15.0       82.08       60.74     0.25661
6.0           16.0        null        null        null
6.0           17.0       57.87       51.65     0.11998
6.0           18.0      113.23       64.29     0.44541
6.0           19.0      117.57        73.4     0.33988
6.0           20.0       70.61       59.08     0.15829
6.0           21.0        null        null        null
6.0           22.0      114.03       69.08     0.30918
6.0           23.0       88.64       62.82     0.34547
6.0           24.0       80.05       66.81     0.11645
6.0           25.0       88.58       66.99     0.31737
6.0           26.0       77.83       59.11     0.23417
6.0           27.0        null        null        null
6.0           28.0       59.01       56.05    0.064038
6.0           29.0       73.21        65.5     0.11726
6.0           30.0      104.51       74.05     0.23808
6.0           31.0       95.33          67      0.3781
6.0           32.0       56.87       54.41    0.050512
6.0           33.0       75.53        55.6     0.23802
6.0           34.0       70.01       52.31     0.20905
6.0           35.0       51.44        50.7    0.015159
6.0           36.0       79.09       68.15    0.093676
6.0           37.0       76.12       59.49     0.25105
6.0           38.0        null        null        null
6.0           39.0        73.5       63.86     0.12065
6.0           40.0       66.59        54.2     0.21658
6.0           41.0       93.75       47.29     0.34489
6.0           42.0       73.47       66.81     0.11168
6.0           43.0       72.08        52.3     0.21294
6.0           44.0       70.44       60.28      0.2038
6.0           45.0       61.93       52.28      0.1862
6.0           46.0       66.52        56.6     0.16728
6.0           47.0       94.25       73.47     0.30927
6.0           48.0       82.52       33.91     0.44823
6.0           49.0      106.82       38.83     0.44098
6.0           50.0       76.93       49.88     0.31304
6.0           51.0       50.37        46.4    0.087411
6.0           52.0       58.66       55.25    0.072845
6.0           53.0       58.04       50.55     0.17823
6.0           54.0       48.87       46.31    0.058732
6.0           55.0       76.77       59.87     0.25191
6.0           56.0       61.23       51.63     0.20736
6.0           57.0      108.74       56.04     0.39273
6.0           58.0       54.73        50.3    0.096811
6.0           59.0       76.54       64.12     0.23004
6.0           60.0       83.68       55.42     0.28105
6.0           61.0       56.66       53.63     0.06738
6.0           62.0       52.54       49.54    0.070784
6.0           63.0       58.88       50.12     0.16269
6.0           64.0       42.41       35.34     0.22628
6.0           65.0        54.1       45.49     0.15642
6.0           66.0      106.42       61.52      0.2638
6.0           67.0       43.78        42.5    0.037845
6.0           68.0       46.17       44.24    0.049741
6.0           69.0       63.41       52.87     0.19704
6.0           70.0       50.69       50.71   -0.015343
6.0           71.0       63.15       58.36     0.10299
6.0           72.0       55.43       52.25    0.082195
6.0           73.0       60.95       57.42    0.051026
6.0           74.0       63.84       63.03    0.041906
6.0           75.0       53.93       45.59     0.16344
6.0           76.0       74.42       61.17     0.25849
6.0           77.0       60.36        56.2    0.076051
6.0           78.0       49.88       50.13   -0.012166
6.0           79.0       52.13       49.48    0.063442
6.0           80.0       60.25       52.17     0.15255
6.0           81.0       62.61       55.54    0.091421
6.0           82.0       71.51       51.21     0.20352
6.0           83.0       43.33       42.14    0.034317
6.0           84.0          63       58.47    0.060844
6.0           85.0       66.08        60.6    0.088918
6.0           86.0        56.6       53.92    0.070992
6.0           87.0       57.36       52.44     0.10053
6.0           88.0       50.75       47.75    0.070977
6.0           89.0       57.52       52.56     0.10215
6.0           90.0       46.62        40.2     0.18051
6.0           91.0        72.6       63.92     0.17766
6.0           92.0       43.76       43.46    0.011266
6.0           93.0       78.43       54.81     0.22859
6.0           94.0        50.9       50.94  -0.0076831
6.0           95.0       49.35       45.73    0.098225
6.0           96.0       51.37       50.55    0.018783
6.0           97.0       55.57       51.19    0.092993
6.0           98.0       54.09       48.69     0.11793
6.0           99.0       54.09       52.11    0.049661
6.0          100.0        56.3       53.32    0.068027
6.0          101.0        52.7        49.8    0.073901
6.0          102.0       89.61       63.84      0.3283
6.0          103.0       71.42       57.43     0.20345
6.0          104.0        53.9       47.14     0.15613
6.0          105.0       53.01       49.33    0.086397
6.0          106.0       71.98       59.08     0.25528
6.0          107.0       54.44       50.01    0.096991
